timestamp	phase	score	words	keep_discard	description
cd66cb0	foundation	5.0	0	keep	Iteration 1: score improved 0.0 -> 5.0
96deb4e	foundation	9.0	0	keep	Iteration 2: score improved 5.0 -> 9.0
ea23979	ch01	8.0	3352	keep	Chapter 1 (attempt 1)
4b05110	ch02	7.0	3572	keep	Chapter 2 (attempt 1)
b1b9d95	ch03	7.0	2680	keep	Chapter 3 (attempt 1)
e2950da	ch04	6.7	3689	keep	Chapter 4 (attempt 1)
7d22437	ch05	7.0	2592	keep	Chapter 5 (attempt 1)
cc54a39	ch06	7.0	3271	keep	Chapter 6 (attempt 1)
3f809b0	ch07	6.7	2587	keep	Chapter 7 (attempt 1)
discarded	ch08	4.8	4393	discard	Chapter 8 attempt 1
6da99f1	ch08	7.0	2770	keep	Chapter 8 (attempt 2)
discarded	ch09	5.1	2589	discard	Chapter 9 attempt 1
906410f	ch09	6.7	2861	keep	Chapter 9 (attempt 2)
0983533	ch10	7.5	2757	keep	Chapter 10 (attempt 1)
1ea87ea	ch11	6.1	3758	keep	Chapter 11 (attempt 1)
2800da5	ch12	7.0	2795	keep	Chapter 12 (attempt 1)
0014d2b	ch13	6.7	3840	keep	Chapter 13 (attempt 1)
7b14fe2	ch14	7.4	2985	keep	Chapter 14 (attempt 1)
discarded	ch15	4.7	2617	discard	Chapter 15 attempt 1
40f0058	ch15	7.0	2384	keep	Chapter 15 (attempt 2)
65f2b38	ch16	6.7	3266	keep	Chapter 16 (attempt 1)
f321420	ch17	6.5	2905	keep	Chapter 17 (attempt 1)
4710874	ch18	7.0	3197	keep	Chapter 18 (attempt 1)
7f68b73	ch19	7.0	2762	keep	Chapter 19 (attempt 1)
a8fadc0	ch20	6.7	3177	keep	Chapter 20 (attempt 1)
fabc6e2	ch21	7.8	3774	keep	Chapter 21 (attempt 1)
2c61334	ch22	6.2	2685	keep	Chapter 22 (attempt 1)
cb475fd	ch23	7.7	2218	keep	Chapter 23 (attempt 1)
f6e5cee	ch24	6.7	3145	keep	Chapter 24 (attempt 1)
18a4394	ch25	8.0	2792	keep	Chapter 25 (attempt 1)
reverted	rev-ch15	7.0	1770	discard	Cycle 2: momentum_loss regressed 8.0->7.0
d5ee393	rev-ch10	6.8	2917	keep	Cycle 2: momentum_loss improved 6.5->6.8
98fc431	rev-ch11	7.0	2354	keep	Cycle 2: cut_candidate improved 6.1->7.0
bfb8819	rev-ch07	6.7	2566	keep	Cycle 2: cut_candidate improved 6.7->6.7
ad99bd2	rev-ch17	6.5	2946	keep	Cycle 2: thinnest_character improved 6.5->6.5
2f29aad	revision-cycle-2	8.0	72955	cycle	Cycle 2: novel_score 7.0->8.0
reverted	rev-ch11	6.7	1790	discard	Cycle 2: momentum_loss regressed 7.0->6.7
76fc503	rev-ch07	6.7	2148	keep	Cycle 2: momentum_loss improved 6.7->6.7
996d3ec	rev-ch19	7.0	2610	keep	Cycle 2: missing_scene improved 7.0->7.0
99ffcbc	rev-ch13	6.7	3840	keep	Cycle 2: missing_scene improved 6.7->6.7
d8ed8b5	revision-cycle-2	8.0	70974	cycle	Cycle 2: novel_score 7.0->8.0
reverted	rev-ch10	7.0	2074	discard	Cycle 3: momentum_loss regressed 7.8->7.0
0c1c744	rev-ch08	7.0	2352	keep	Cycle 3: momentum_loss improved 7.0->7.0
2fdfbf4	rev-ch07	6.7	2082	keep	Cycle 3: momentum_loss improved 6.7->6.7
cc94f95	rev-ch13	8.0	3476	keep	Cycle 3: momentum_loss improved 6.7->8.0
bc6072f	revision-cycle-3	8.0	67975	cycle	Cycle 3: novel_score 8.0->8.0
2f0c3fa	rev-ch10	6.8	2674	keep	Cycle 3: momentum_loss improved 6.8->6.8
24ac261	rev-ch09	6.7	1765	keep	Cycle 3: momentum_loss improved 5.7->6.7
reverted	rev-ch08	5.8	2323	discard	Cycle 3: worst_scene regressed 7.0->5.8
42ca831	rev-ch02	7.0	3612	keep	Cycle 3: momentum_loss improved 7.0->7.0
b077745	revision-cycle-3	7.5	66003	cycle	Cycle 3: novel_score 8.0->7.5
ee64325	rev-ch10	6.8	2602	keep	Cycle 4: missing_scene improved 6.8->6.8
7e7d25f	rev-ch13	7.0	3476	keep	Cycle 4: momentum_loss improved 7.0->7.0
reverted	rev-ch07	6.4	2334	discard	Cycle 4: momentum_loss regressed 6.7->6.4
f25ecc5	rev-ch08	7.0	2231	keep	Cycle 4: momentum_loss improved 7.0->7.0
1f845c1	revision-cycle-4	8.0	64778	cycle	Cycle 4: novel_score 7.5->8.0
a382efa	rev-ch08	7.0	1850	keep	Cycle 5: momentum_loss improved 7.0->7.0
f2f7a9a	rev-ch10	6.8	2583	keep	Cycle 5: momentum_loss improved 6.8->6.8
20bb239	rev-ch07	6.7	1540	keep	Cycle 5: momentum_loss improved 6.7->6.7
8644f09	rev-ch09	7.0	1590	keep	Cycle 5: cut_candidate improved 6.7->7.0
be5030b	rev-ch15	7.0	1172	keep	Cycle 5: momentum_loss improved 7.0->7.0
